id,proverb,interpretation,keyword1,keyword2,keyword3
1,Nnụnụ benyere n'ọdụ igu na-achọ egwu ọ ga-agba,The bird that perches on a fence is looking for a dance to dance,dance,nonhuman,bird
2,Nwa mgbada gbajiri ụkwụ ya n'egwu tupu oge eji agba egwu eruo,The deer already dances itself to a broken waist before the time to dance arrives,dance,nonhuman,deer
3,"A na-egwu egwu na ebisa aka na ikpu, ndị nwụrụ anwụ a na-alọ ụwa",When you are playing with hands to the vagina: the spirits are returning to the world,play,sex,
4,Onwekwara egwu ezi na-agaghị agba?,Is there a music that cannot be danced to,dance,music,
5,Agadi nwaanyị anaghị aka nka n'egwu ọ ma agba,An old woman cannot forget the dance step she knows how to dance.,dance,,
6,"Atụrụ sị na a kụrụ egwu ruo na be ya, ọ bụrụ na ọ maghị agba, ọ wụliwe elu","The sheep said that in as much as it does not know how to dance, if musicians pass in front of its fathers house and it does not know what to do, it will start jumping.",dance,nonhuman,sheep
7,Chi nyere nwa ogbenye ji ga-enye ya mbazụ ọ ga-eji egwuru ya,God who gives yam to a poor man will give the field where he will grow it,dig,god,
8,Egwuru egwu nwa nkịta na nwa nkịta bụ onye daara ibe ya ibe ya daara y’a,The play of dogs is that one falls down for the other,play,nonhuman,dog
9,Onye nwanne ya na-amaghị agba egwu na-akọ ụkọ nku anya,"A person whose siblings don't know how to dance, begins to talk about scratching their eyes.",dance,,
10,Nwaanyị na-amụ nwa na-eti mkpu bu ụmụagbọbia ka ọ na-eyi egwu,"A woman who's screaming while giving birth, puts fear in the minds of young women.",fear/frightened,,
11,Uzu na-amaghi akpu ogene lee egbe anya n'odu.,The blacksmith who does know how to forge a metal gong should look at the tail of a kite,related,,
12,"Mkpume rịgoro elu, egwu atụwa ite mmiri","When a stone gets up, water pot gets frightened",fear/frightened,,
13,Onye n’ egwu egwu nwa okuko n'ete akpala ya,He who dances the dance of the chicken,dance,,
14,"O dighi mma a gbachaa egwu ka nwoke, e bie ya ka nwanyi.",It is not good to start dancing like a man and end like a woman,dance,,
15,Ejighi akwa ebitere ebite agbasi egwu ike.,You do not dance energetically when wearing borrowed clothes,dance,,
16,"Okuku bere na ngige, ngige egwu okuku egwu","A bird perches on the branch, the bird dances as the branch dances",dance,nonhuman,bird
17,Eze mbe si na ihe ya ji-achiri ihe-egwu ya aga njem bu maka ya ezu ndiegwu.,The tortoise said that it always travels with its musical instrument in case it meets other musicians,music,nonhuman ,tortoise
18,"Atulu si na o bu eziokwu na o maghi agba egwu ma akuru egwu gafeta n’ama nna ya, o maghi ihe o ga-eme, o wulibe elu","The sheep said that in as much as it does not know how to dance, if musicians pass in front of its fathers house and it does not know what to do, it will start jumping",dance ,nonhuman,sheep
19,Egwu uwa wu egwu okoso,The dance of the world is the dance of the okoso,dance,nonhuman ,object
20,Nwata na agba egwu surugede amaghi na egwu surugede bu egwu nde mmuo,The child that dances surugede music/dance does not know that surugede music/dance is a dance/music of the spirits,dance,,
21,O bu naani onye enweghi nwanne na-anya akpa agba egwu,It is a person who has no relative that can be seen carrying their bag while dancing,dance,,
22,"Uwa bu egwu, onye o daalu o gbaba","The world is a moving musical cavalcade, if the tunes come your way, you dance along",dance,music,
23,"Uwa bu ijele mmonwu, akwuro ofu ebe enene ya","The world is a dancing masquerade, you can’t appreciate its entirety from a single view or fixed point",dance,,
24,"A gbacha egwu, ọ laa n'ukwu",The end of a dance is on the waist,dance,,
25,"A kubie egwu, onye ntị ike ana-agba","When the music stops, a deaf person continues to dance",dance,music,
26,"Egwu ebidobeghi, mgbada agbajigo ukwu rịị:",The deer has broken its legs before the dance even began,dance,,
27,"Nshịkọ sị egwuruegwu rue nke ịchịfe aka azụ, onye egwusala ya","The crab says that when play gets to the point of pulling its hand backward, no-one should play with it",play,nonhuman ,crab
28,"Nwa nnụnụ na-agba egwu n'akwa nduru, nwere ihe na-akụrụ ya egwu n'ime ọhịa:","When a bird dances in the middle of the road, something inside the bush is playing the music for it",dance,nonhuman ,bird
29,Ọ bụghị egwu achị ụtaba n'aka agba:,Not every dance is performed with tobacco/snuff in hand,dance,,
30,Agadi nwaanyi a naghi aka nka na egwu o mara agba,An old woman cannot forget the dance step she knows how to dance,dance,,
31,"Ọchịcha di njikere igba egwu, ma ọkụkọ hụrụ ya ka nwakpo ezi","The cockroach was ready to dance but as for the fowl, who regarded its movement as a violation of territorial integrity",dance,nonhuman ,cockroach
32,Enwe si na otu unere si atu ya egwu ka ya si kwa atu unere egwu,The monkey says he is as scared of bananas as bananas are scared of him,fear/frightened,nonhuman ,monkey
33,Dike anaghị atụ egwu ọdụm,A brave person does not fear the lion,fear/frightened,nonhuman ,lion
34,Agụ anaghị atụ egwu ọgịrịga,A leopard does not fear a whistle,fear/frightened,nonhuman ,leopard
35,Nwata kọrọ egwu agaghị amụcha ụkwụ egwu.,A child who learns to dance will not lack dancing steps,dance,,
36,"A na-aga egwu ọnwa ka ahụ mmadụ ọ bụghị ka ahụ ọnwa, maka ọnwa na-eti n'ụlọ onye ọbụla","We go to the dance to meet people, not to watch the moon",dance,,
37,"Egwu anaghị atụ afọ, o buru ụzọ","Fear does not affect the stomach, that’s why it is always in front.",fear/frightened,,
38,Nwa nnụnụ anaghị eso nne ya agba egwu,A bird’s chick does not dance with its mother,dance,nonhuman ,bird
39,Uwa di egwu,The world is wonderful,fear/frightened,,
40,"Nwata nwere ike were ara nne ya gwue egwu ma aka ya
agaghị eru n’amụ nna ya",A child can play with its mother's breasts but not with the father's testicles,play,,
41,Onye mkpumkpu na aga ikiri egwu n'oge,A short person will always be punctual to watch a dance,dance,,
42,"E bugharia egwu, e bugharia onodu","Whenever the dancing position changes, the watching position also changes",dance,,
43,Onye nwanne ya na agba ajo egwu nadi na ako oko n'iku anya,He whose sister is not dancing well is always scratching his eye lids,dance,,
44,"Oke soru Ngwere egwu-mmiri, o koo Ngwere, n'ogaghi ako Oke","If a rat goes swimming with a lizard, the lizard gets dry but the rat stays wet",play,nonhuman ,rat
45,Oke egwuregwu n'ebute mkpari,Familiarity breeds contempt,play,,
46,"Nsuko ga egwu orimiri ukwu na nke nta, mana ite ofe nwa agadi nwayi ga eri ya",The crab may swim across big and small rivers but it will eventually end up in an old woman's soup pot.,play,nonhuman ,crab
47,"Nnukwu mmanwu na agba egwu, oti mkpu ga eti ri ri!","when the great masquerade dances, the henchmen will surely hola!",dance,,
48,"Ikwuikwui nyuru aru si umu nna ya kwere ya egwu. ha si ya tufuakwa, na anaghi ekwere ihe ojoo egwu",If you deform yourself — morally or otherwise — don’t expect others to celebrate you.,dance,,